#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270732.1	1	41543	0	0	0	0	0	0
KI270735.1	1	42811	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270737.1	1	103838	0	0	0	0	0	0
KI270739.1	1	73985	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270741.1	1	157432	0	0	0	0	0	0
KI270746.1	1	66486	0	0	0	0	0	0
KI270747.1	1	198735	0	0	0	0	0	0
KI270749.1	1	158759	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270753.1	1	62944	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
