#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270734.1	1	165050	597	13539	8.20297	0.539649	36.3	23.6
KI270738.1	1	99375	7	856	0.861384	0.0103849	36.3	60
KI270742.1	1	186739	160	13496	7.2272	0.127595	36.3	36.4
KI270743.1	1	210658	192	10265	4.87283	0.135091	36.2	44.3
KI270744.1	1	168472	926	25037	14.8612	0.817661	36	37.8
KI270745.1	1	41891	338	13171	31.4411	1.19613	35.9	19.4
KI270747.1	1	198735	4	317	0.159509	0.00296375	36.1	0.75
KI270748.1	1	93321	26	1961	2.10135	0.0413519	36.1	23.7
KI270749.1	1	158759	3	365	0.229908	0.00267701	34.6	40.3
KI270750.1	1	148850	6	582	0.390998	0.00600605	36.2	60
KI270751.1	1	150742	332	17550	11.6424	0.329032	36.2	4.87
KI270753.1	1	62944	6	600	0.953228	0.0142984	36.2	40.3
KI270754.1	1	40191	81	6219	15.4736	0.299371	36.5	39.6
KI270755.1	1	36723	16	1558	4.24257	0.0651091	36.7	45.2
GL000208.1	1	92689	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270438.1	1	112505	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270519.1	1	138126	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270708.1	1	127682	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270715.1	1	161471	0	0	0	0	0	0
KI270716.1	1	153799	0	0	0	0	0	0
KI270724.1	1	39555	0	0	0	0	0	0
KI270726.1	1	43739	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
KI270732.1	1	41543	0	0	0	0	0	0
KI270735.1	1	42811	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270737.1	1	103838	0	0	0	0	0	0
KI270739.1	1	73985	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270741.1	1	157432	0	0	0	0	0	0
KI270746.1	1	66486	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
