#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GL000220.1	1	161802	325353	59046	36.4928	300.082	36	3.61
GL000221.1	1	155397	105	9977	6.42033	0.100388	36.3	30.2
GL000224.1	1	179693	20	2295	1.27718	0.0165282	35.8	30.2
GL000225.1	1	211173	3	146	0.0691376	0.00207413	36.9	60
KI270435.1	1	92983	1	150	0.16132	0.0016132	36.3	60
KI270438.1	1	112505	1	142	0.126217	0.00126217	36	60
KI270442.1	1	392061	64	2851	0.727183	0.0241263	36	55.3
KI270467.1	1	3920	3	287	7.32143	0.114286	36.5	60
KI270706.1	1	175055	689	42274	24.149	0.586713	36	52.8
KI270707.1	1	32032	34	3248	10.1399	0.157343	35.4	56.5
KI270708.1	1	127682	3	450	0.352438	0.00352438	36.5	60
KI270709.1	1	66860	2	293	0.438229	0.00438229	36.6	0
KI270711.1	1	42210	585	14414	34.1483	2.06036	36.2	30.3
KI270712.1	1	176043	51	4737	2.69082	0.0425635	35.8	11.3
KI270713.1	1	40745	49	3802	9.33121	0.178746	36	37.1
KI270714.1	1	41717	88	5545	13.2919	0.314884	36.2	55.3
KI270717.1	1	40062	4	457	1.14073	0.0149518	36.3	1
KI270718.1	1	38054	22	1779	4.67494	0.0858517	36.4	24.8
KI270719.1	1	176845	18	2000	1.13093	0.0151432	36.3	27.1
KI270720.1	1	39050	1	150	0.384123	0.00384123	35.5	0
KI270721.1	1	100316	10820	17700	17.6442	16.0914	36.1	1.49
KI270722.1	1	194050	54	4728	2.43649	0.041412	36.5	57.8
KI270723.1	1	38115	4	512	1.3433	0.0157418	36.5	60
KI270724.1	1	39555	4	592	1.49665	0.0149665	33.9	60
KI270725.1	1	172810	6	518	0.299751	0.0051791	36.5	40.3
KI270727.1	1	448248	57	4439	0.9903	0.0188467	36	23.7
KI270728.1	1	1872759	30	2353	0.125644	0.00232171	35.7	24.4
KI270729.1	1	280839	9	571	0.203319	0.00472869	36	26.7
KI270731.1	1	150754	56	2760	1.8308	0.0546387	36.6	24.2
KI270733.1	1	179772	413992	56326	31.3319	343.627	36	13.1
KI270734.1	1	165050	630	15954	9.66616	0.568531	36.2	22.5
KI270738.1	1	99375	7	806	0.811069	0.0104654	36.6	34.3
KI270742.1	1	186739	213	15101	8.08669	0.169606	36.1	40.6
KI270743.1	1	210658	178	10728	5.09261	0.124904	36.1	45
KI270744.1	1	168472	888	24893	14.7757	0.782902	35.9	39.5
KI270745.1	1	41891	324	13075	31.212	1.14354	35.7	14
KI270746.1	1	66486	2	295	0.443702	0.00451223	35.1	60
KI270747.1	1	198735	1	150	0.0754774	0.000754774	36.7	0
KI270748.1	1	93321	34	2944	3.1547	0.052957	35.8	11.3
KI270749.1	1	158759	4	520	0.32754	0.00377301	36.5	30.5
KI270750.1	1	148850	3	391	0.262681	0.00301646	35.9	40
KI270751.1	1	150742	296	18220	12.0869	0.292374	36.1	5.7
KI270753.1	1	62944	2	299	0.475025	0.00475025	35.8	1
KI270754.1	1	40191	71	5207	12.9556	0.26282	36.3	30
KI270755.1	1	36723	34	2839	7.73085	0.138033	35.7	35.6
GL000208.1	1	92689	0	0	0	0	0	0
GL000216.2	1	176608	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270330.1	1	1652	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270466.1	1	1233	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270519.1	1	138126	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270715.1	1	161471	0	0	0	0	0	0
KI270716.1	1	153799	0	0	0	0	0	0
KI270726.1	1	43739	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
KI270732.1	1	41543	0	0	0	0	0	0
KI270735.1	1	42811	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270737.1	1	103838	0	0	0	0	0	0
KI270739.1	1	73985	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270741.1	1	157432	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
